"id","input_text","response_text","created_at"
19,"고민","플뢰르 드 리스의 모습으로 싸울 때마다 마음속으로 항상 저 자신한테 몇 번이고 말하는 게 있어요. 말투나 몸짓은 물론, 행동 하나하나에서 침착함과 위엄이 배어 나와야 한다고... 하아, 그게 얼마나 힘든지 아세요? 적어도 저한테는, 너무너무 어려운 일이에요!","2025-07-24 00:46:42.05497"
20,"좋아하는 음식!","역시 푸른 가지 월계 샐러드죠. 향긋한 데다가 상큼하고, 영양도 풍부해서 하루 종일 먹어도 좋을 거예요. 네? 질리지 않냐고요? 당연하죠! 소스와 푸른 가지 과일의 조합도 훌륭하고, 달콤한 데다 아삭아삭하기까지... 게다가 만드는 법도 쉬워서 저도 잘 만들 수 있어요","2025-07-24 00:46:42.05497"
21,"싫어하는 음식!","생선은 잘 못 먹겠어요. 왠지는 모르겠지만, 먹어보려고 해도 저도 모르게 손에서부터 거부 반응이 생기더라고요. 어렸을 때 부모님께서 「편식은 좋지 않다」고 항상 말씀하기도 했고, 바닷가 마을에 살면서 생선을 싫어하면 먹을 수 있는 게 줄어드니까 고생도 하긴 했지만... 아무래도 싫어하는 건 좋아해 보려고 해도 좋아할 수가 없어요","2025-07-24 00:46:42.05497"
22,"포부와 이상","... 지금 말씀이신가요? 지금은 자유롭게 방랑하는 기사가 되고 싶어요. 에글라 타운에 전해 내려오는 기사 이야기처럼, 여기저기 돌아다니면서 악을 향해 정의의 칼을 휘두르고 멋지게 떠나는 기사 말이에요! 수도회에서 성녀로 뽑히기 전에는 항상 그런 미래를 꿈꾸고 있었어요. 그리고 지금은 그 책임에서 벗어났으니까... 동경하는 모습과는 멀어질 수도 있겠지만, 무대 뒤에서 조용히 모든 것을 지켜보는 수호자가 될 거예요. 그래서 요즘은 순례 기사 시절에 배운 야외 생존 지식을 복습하고 있어요. 그래서 말인데, 괜찮으시다면 제 새로운 기사 칭호를 함께 생각해 주실 수 있나요?","2025-07-24 00:46:42.05497"
23,"너의 이야기 I","「아우티르」는 제 검이자 첫 번째 동료예요. 마을 전설에 따르면, 좋은 기사한테는 항상 마음이 통하는 보검이 있다고 해요. 그래서 저는 「아우티르」를 처음 손에 쥔 순간 너무 기뻐서 온몸이 떨렸어요. 그 후로 이런저런 검을 써 봤지만, 여전히 저한테는 「아우티르」가 가장 소중한 아이예요. 검자루를 쥘 때마다 제 마음이 변하지 않았다는 걸 계속 확인할 수 있죠. 그것이 저 자신이 아니라 타인으로부터 만들어진 것이라고 해도... 네, 몇 번을 물어봐도 전 그 순간에 「구원」의 길을 택할 거예요","2025-07-24 00:46:42.05497"
54,"강공격 V","강림!","2025-07-24 01:11:14.358366"
55,"강공격 VI","깊은 바다로","2025-07-24 01:11:14.358366"
24,"너의 이야기 II","제 삶은 명식의 저주와 파멸로 인해 주어진 거예요. 명식의 뜻으로 관을 쓰고, 성녀의 영광을 누리고, 수많은 신도들의 존경과 사랑을 받아온 거죠. 그 후 신앙에 의해 굳건해진 명식의 힘을 없애기 위해 저는 매일 끊임없이 싸워 왔어요. 그러자 파도에 안긴 것 같은 기나긴 꿈속에서 사람들의 따뜻한 기도 소리는 점점 차가운 비명으로 변해갔죠. 다시는 그런 소리를 듣고 싶지 않아서, 저는 귀를 막고 말았어요... 하지만 당신이 절 탑에서 구해낸 후, 몰래 라군나 성으로 간 제 눈에 들어온 건 행복을 기도하는 사람들이었어요. 도무지 무시할 수 없는 따뜻한 목소리였죠. 그 순수한 목소리들이 왜곡되지 않도록, 저는 아직 해야 할 일도, 그리고 할 수 있는 일도 많다는 사실을 되새겼어요","2025-07-24 00:46:42.05497"
25,"칸타렐라에 관하여","저는... 칸타렐라한테서 「성녀의 자리」라는 영광을 빼앗았어요. 신도들의 호의나 기대는 모두 원래대로라면 다 칸타렐라의 것이었지만... 정작 본인은 전혀 신경 쓰지 않는 것처럼 행동하고 있죠. 칸타렐라는 성숙하고 세심한 사람이니까, 진작 가문 안에서 자신의 길을 찾아냈을 거예요. 하지만 제가 영원히 갚을 수 없는 빚을 져 버린 것도... 사실이고요","2025-07-24 00:46:42.05497"
26,"페비의 관하여","경건하고 부드러운 마음씨를 가진 분이라고 생각해요. 성직자로서 항상 주위에 도움의 손길을 내밀고 있죠. 교리에 관해서라면 저보다 페비가 한 수 위일 거예요. 페비같은 순수한 신도가 있기 때문에, 당장은 라군나 사람들에게 진실을 밝히지 않고 있어요. 수호신에 대한 경건한 마음이 아니더라도, 여러 이유로 많은 분들이 아직 신앙을 필요로 하고 있으니까요. 이런저런 문제를 고려했을 때... 비밀을 드러내는 건 아직 너무 이르다고 생각해요","2025-07-24 00:46:42.05497"
27,"카를로타에 관하여","몬텔리 가문의 둘째 아가씨 말씀이시죠? 그분 덕분에 재미있는 물건들이 라군나에 많이 들어왔어요. 공기마저 갑갑해지는 폐쇄적인 상태에서 벗어나려면, 새로운 항로나 외부와의 연결 같은 새로운 파도가 필요하거든요. 저는 수도회에서 「물건값을 깎는 법도 모른다」는 소릴 들을 정도로 거래에 관해서는 아는 게 없지만... 기회가 된다면 카를로타 아가씨에게 비결을 전수받고 싶어요!","2025-07-24 00:46:42.05497"
28,"샤콘에 관하여","어렸을 땐 항상 마을에 머무는 시인분들에게 기사 이야기를 더 해달라고 조르곤 했어요. 탑을 떠난 어느 날, 들판을 걷다가 바람을 타고 들려오는 아름다운 멜로디를 들었죠. 멀찍이 떨어진 나무 아래로, 에글라 타운의 민요를 바탕으로 만든 노래를 부드럽게 흥얼거리는 샤콘의 모습이 보였어요. 그 노래에 집중하다 보니 어느새 해가 뉘엿뉘엿 지고 있었고요...","2025-07-24 00:46:42.05497"
29,"루파에 관하여","명식이 가진 「융합」의 특성 때문에 전투가 끝난 후의 저를 위험하고 비정상적인 사람으로 보는 눈길도 많지만... 루파는 단 한 번도 저랑 거리를 둔 적이 없어요. 절 고귀한 존재로 우러러본 적도 없고, 두려움에 멀리한 적도 없고요. 루파는 솔직하고 강인하면서, 친구를 잘 챙겨주는 사람이거든요... 「플뢰르 드 리스」의 모습이 아닐 때의 저는 루파보다 조금 작지만... 그래도 역시 제가 루파의 「언니」라고 생각해요!","2025-07-24 00:46:42.05497"
30,"생일 축하","생일 축하해요, ${nickname}! 여기에 데려온 이유를 알고 싶다고 하셨죠? 보세요. 구름, 새, 하늘, 그리고 거꾸로 선 탑과 황금빛 아침놀까지... 자, 이렇게 제 손을 잡으면 당신도 물 위를 걸을 수 있어요. 어떠세요? 신기하고 두근거리지 않나요? 조금만 더 기다리면 석양이 수평선 너머로 저물어 갈 거예요. 전 그 순간이 가장 아름답다고 생각해요. 예전에는 탑 안에서 싫증이 나도록 바라보던 풍경이지만... 당신을 만나고 나서는 제 마음도 바뀌었고, 같은 경치라도 다르게 보이기 시작했거든요. 비록 전 진짜 성녀도 아니고, 축복을 내리는 힘도 당연히 없지만, 그래도 진심으로 축복을 보낼게요. 부디 당신의 소원이 이루어지길","2025-07-24 00:46:42.05497"
31,"오늘의 이야기","https://youtube.com/shorts/FEPlBXV5-NE?si=U_xDPe1ixs-Ea8T-","2025-07-24 00:46:42.05497"
32,"이꽃 어때?","음~ 향긋해요!","2025-07-24 00:46:42.05497"
33,"저기..","으아앗 꿈이었네요..","2025-07-24 00:46:42.05497"
34,"너는 누구야?","저는 카르티시아. 지금은 방랑하는 기사예요. 악의로부터 태어난 명식의 창조물, 헤매면서도 계속 앞으로 나아가는 월계관을 쟁취한 자, 바닷바람에 잠드는 반역자... 시인이나 작가들처럼 그럴듯한 이름도 생각해 봤지만, 모두 지금의 저랑은 거리가 먼 이름이 됐죠. 이젠... 당신과 함께 새로운 미래를 만들어 갈 거예요. 「검을 가진 자」여","2025-07-24 00:46:42.05497"
35,"시작의 연주","바람을 두른 관은 드넓은 바다에 잠들었습니다. 당신이... 이 검을 깨우신 건가요?","2025-07-24 00:46:42.05497"
36,"어서와 I","기사 이야기, 지금부터 시작됩니다!","2025-07-24 00:46:42.05497"
37,"어서와 II","이 검은, 당신 뜻대로 휘두를 거예요","2025-07-24 00:46:42.05497"
38,"어서와 III","저랑 같이 모험하시겠어요?","2025-07-24 00:46:42.05497"
39,"돌파 I","검술 실력이 점점 늘고 있어요!","2025-07-24 00:46:42.05497"
40,"돌파 II","느껴지시나요? 바람의 주파수가, 당신과 제 사이에서 맴돌고 있어요","2025-07-24 00:46:42.05497"
41,"돌파 III","아카데미에서 공부할 때 알게 됐어요. 자신만의 정의를 지킨다는 건, 강대한 어둠이나 꿈틀거리는 그림자에도 지지 않는 노력이 필요한 일이라는 걸...","2025-07-24 00:46:42.05497"
42,"돌파 IV","제 몸에 깃든 힘을 무서워했던 적이 있어요. 이 힘에게 삼켜져 버린다면 어떤 무서운 괴물이 될까, 하고... 당신과 만난 뒤로 이런 악몽들은 점차 사라졌지만요","2025-07-24 00:46:42.05497"
43,"돌파 V","모든 것을 삼킬 운명의 소용돌이에 휘말리면서 저는 항상 분노했어요. 제가 이룬 업적도, 신뢰도 모두 명식의 먹이가 된다니... 사람들을 위해 얻은 힘이 오히려 적을 강하게 만든다는 사실이 이해가 가지 않았죠. 그래도 전 걸음을 멈추지 않기로 했어요. 제 삶을 이어가도록 해주신 수호신을 위해서라도 그분이 남긴 모든 것을 끝까지 지켜낼 거예요","2025-07-24 00:46:42.05497"
44,"일반 공격 I","사죄","2025-07-24 01:11:14.358366"
45,"일반 공격 II","구제","2025-07-24 01:11:14.358366"
46,"일반 공격 III","속죄","2025-07-24 01:11:14.358366"
47,"일반 공격 IV","종말의 소리","2025-07-24 01:11:14.358366"
48,"일반 공격 V","파멸을 맞이하라","2025-07-24 01:11:14.358366"
49,"일반 공격 VI","이제, 사라져라","2025-07-24 01:11:14.358366"
50,"강공격 I","어딜 가려고!","2025-07-24 01:11:14.358366"
51,"강공격 II","파멸","2025-07-24 01:11:14.358366"
52,"강공격 III","정지","2025-07-24 01:11:14.358366"
53,"강공격 IV","도달!","2025-07-24 01:11:14.358366"
56,"강공격 VII","거센 물살로","2025-07-24 01:11:14.358366"
57,"공중 공격 I","참격!","2025-07-24 01:11:14.358366"
58,"공중 공격 II","낙하!","2025-07-24 01:11:14.358366"
59,"공중 공격 III","격파!","2025-07-24 01:11:14.358366"
60,"공명 스킬 I","사라져 줘","2025-07-24 01:11:14.358366"
61,"공명 스킬 II","악이여, 떨어져 줘!","2025-07-24 01:11:14.358366"
62,"공명 스킬 III","높은 하늘이여","2025-07-24 01:11:14.358366"
63,"공명 스킬 IV","돌풍의 정화!","2025-07-24 01:11:14.358366"
64,"공명 스킬 V","악을 단죄하라!","2025-07-24 01:11:14.358366"
65,"공명 스킬 VI","심판의 파도!","2025-07-24 01:11:14.358366"
66,"공명 스킬 VII","파멸을 고하라","2025-07-24 01:11:14.358366"
67,"공명 스킬 VIII","뒤덮은 파도","2025-07-24 01:11:14.358366"
68,"공명 해방 I","바다여, 밀려오길","2025-07-24 01:11:14.358366"
69,"공명 해방 II","진실이여, 드러내길","2025-07-24 01:11:14.358366"
70,"공명 해방 III","회개는, 침묵의 시작","2025-07-24 01:11:14.358366"
71,"공명 해방 IV","바람이여, 휘몰아쳐라!","2025-07-24 01:11:14.358366"
72,"공명 해방 V","이 검으로, 악을 멸하겠어!","2025-07-24 01:11:14.358366"
73,"공명 해방 VI","파도여, 천지를 갈라라!","2025-07-24 01:11:14.358366"
74,"공명 해방 VII","이것이... 죄인의 말로다","2025-07-24 01:11:14.358366"
75,"공명 해방 VIII","모독은, 심판받으리","2025-07-24 01:11:14.358366"
76,"공명 해방 IX","배신자는, 멸망하리라","2025-07-24 01:11:14.358366"
77,"번주 스킬 I","붕괴!","2025-07-24 01:11:14.358366"
78,"번주 스킬 II","파괴!","2025-07-24 01:11:14.358366"
79,"번주 스킬 III","인멸!","2025-07-24 01:11:14.358366"
80,"번주 스킬 IV","쏟아져라!","2025-07-24 01:11:14.358366"
81,"번주 스킬 V","산개하라!","2025-07-24 01:11:14.358366"
82,"번주 스킬 VI","녹아들어라!","2025-07-24 01:11:14.358366"
83,"피격 I","성급했어!","2025-07-24 01:11:14.358366"
84,"피격 II","결투 신청인가요?","2025-07-24 01:11:14.358366"
85,"피격 III","겨우 이건가","2025-07-24 01:11:14.358366"
86,"피격 IV","무례하긴","2025-07-24 01:11:14.358366"
87,"중상 I","이것도 시련이야","2025-07-24 01:11:14.358366"
88,"중상 II","물러설 순 없어","2025-07-24 01:11:14.358366"
89,"중상 III","이 검은, 부서져선 안돼...!","2025-07-24 01:11:14.358366"
90,"중상 IV","날 끝이 긁혔을 뿐이야","2025-07-24 01:11:14.358366"
91,"중상 V","골치 아픈 것들","2025-07-24 01:11:14.358366"
92,"중상 VI","멀리 물고기의 그림자가...","2025-07-24 01:11:14.358366"
93,"전부 불가 I","죄송해요...","2025-07-24 01:11:14.358366"
94,"전부 불가 II","순례의 종점인가...","2025-07-24 01:11:14.358366"
95,"전부 불가 III","다시 기나긴 어둠을...","2025-07-24 01:11:14.358366"
96,"전부 불가 IV","파도의 메라리가... 시끄럽게...","2025-07-24 01:11:14.358366"
97,"전부 불가 V","날 끝이 부러졌어","2025-07-24 01:11:14.358366"
98,"에코 어빌리티 소환 I","그분의 가호","2025-07-24 01:11:14.358366"
99,"에코 어빌리티 소환 II","나와 함께","2025-07-24 01:11:14.358366"
100,"에코 어빌리티 변신 I","「신의 사자」...?","2025-07-24 01:11:14.358366"
101,"에코 어빌리티 변신 II","어떤 모습을 기대했지?","2025-07-24 01:11:14.358366"
102,"전투 알림 I","기사의 적이예요!","2025-07-24 01:11:14.358366"
103,"전투 알림 II","어둠은 파멸할 뿐","2025-07-24 01:11:14.358366"
104,"날아!","저도 날 수 있어요","2025-07-24 01:11:14.358366"
105,"스캔","기사의 직감에 따르면... 저쪽이에요!","2025-07-24 01:11:14.358366"
106,"보급 획득 I","이야기 속에 자주 나왔던 보물이네요","2025-07-24 01:11:14.358366"
107,"보급 획득 II","「여행 경비」가 늘었네요~","2025-07-24 01:11:14.358366"
108,"보급 획득 III","이번 이야기의 제목은, 「기사의 수확」이 어떨까요?","2025-07-24 01:11:14.358366"
109,"보급 획득 IV","원하시는 게 있나요?","2025-07-24 01:11:14.358366"
110,"보급 획득 V","운이 좋군요","2025-07-24 01:11:14.358366"
111,"보급 획득 VI","기도가 통했다는 증거예요","2025-07-24 01:11:14.358366"
